title,skill,level,platform,duration_hours,rating,price,students_enrolled,instructor,last_updated,certificate,url
Julia Masterclass: From Beginner to Advanced,Julia,Beginner,Coursera,17,3.6,19.99,8437,Dr. Miller,2024-11,False,https://example.com/courses/julia-beginner
Advanced Julia Techniques,Julia,Intermediate,MIT OpenCourseWare,12,3.5,0.0,1811,Dr. Smith,2024-06,True,https://example.com/courses/julia-intermediate
Complete Julia Course for Advanced,Julia,Advanced,Stanford Online,11,4.6,19.99,29218,Dr. Brown,2024-10,False,https://example.com/courses/julia-advanced
Complete Julia Course for Advanced,Julia,Advanced,Udemy,16,5.0,19.99,9931,Dr. Brown,2024-04,True,https://example.com/courses/julia-advanced
Julia Masterclass: From Advanced to Advanced,Julia,Advanced,DataCamp,8,3.9,29.99,17333,Dr. Smith,2024-10,False,https://example.com/courses/julia-advanced
Learn Machine Learning - Beginner Tutorial,Machine Learning,Beginner,MIT OpenCourseWare,7,3.9,9.99,42924,Dr. Jones,2024-06,False,https://example.com/courses/machine-learning-beginner
Machine Learning Masterclass: From Intermediate to Advanced,Machine Learning,Intermediate,Udemy,4,4.7,99.99,11300,Dr. Smith,2024-03,False,https://example.com/courses/machine-learning-intermediate
Machine Learning Bootcamp: Advanced Edition,Machine Learning,Advanced,edX,5,3.7,49.99,30013,Dr. Smith,2024-05,True,https://example.com/courses/machine-learning-advanced
Machine Learning Fundamentals for Advanced,Machine Learning,Advanced,Coursera,13,4.6,49.99,27508,Dr. Brown,2024-10,False,https://example.com/courses/machine-learning-advanced
Deep Learning Masterclass: From Beginner to Advanced,Deep Learning,Beginner,Coursera,5,4.9,9.99,3261,Dr. Garcia,2024-08,False,https://example.com/courses/deep-learning-beginner
Deep Learning Bootcamp: Beginner Edition,Deep Learning,Beginner,MIT OpenCourseWare,10,4.7,9.99,6018,Dr. Smith,2024-05,False,https://example.com/courses/deep-learning-beginner
Deep Learning Masterclass: From Beginner to Advanced,Deep Learning,Beginner,DataCamp,13,4.7,29.99,20998,Dr. Williams,2024-06,True,https://example.com/courses/deep-learning-beginner
Deep Learning Bootcamp: Intermediate Edition,Deep Learning,Intermediate,edX,7,4.5,29.99,45501,Dr. Jones,2024-08,False,https://example.com/courses/deep-learning-intermediate
Deep Learning Bootcamp: Intermediate Edition,Deep Learning,Intermediate,Udemy,15,4.4,99.99,11273,Dr. Jones,2024-03,True,https://example.com/courses/deep-learning-intermediate
Deep Learning Fundamentals for Advanced,Deep Learning,Advanced,edX,18,4.3,99.99,48485,Dr. Johnson,2024-05,False,https://example.com/courses/deep-learning-advanced
Complete Deep Learning Course for Advanced,Deep Learning,Advanced,Udemy,16,3.9,9.99,4020,Dr. Williams,2024-06,True,https://example.com/courses/deep-learning-advanced
Advanced Statistics Techniques,Statistics,Beginner,LinkedIn Learning,17,4.0,49.99,31138,Dr. Brown,2024-05,False,https://example.com/courses/statistics-beginner
Complete Statistics Course for Beginner,Statistics,Beginner,Coursera,7,4.0,29.99,18637,Dr. Garcia,2024-04,True,https://example.com/courses/statistics-beginner
Statistics Bootcamp: Intermediate Edition,Statistics,Intermediate,edX,3,4.2,49.99,49937,Dr. Jones,2024-10,False,https://example.com/courses/statistics-intermediate
Statistics Masterclass: From Intermediate to Advanced,Statistics,Intermediate,Pluralsight,6,4.0,99.99,4371,Dr. Garcia,2024-08,True,https://example.com/courses/statistics-intermediate
Complete Statistics Course for Advanced,Statistics,Advanced,MIT OpenCourseWare,15,3.8,99.99,4065,Dr. Brown,2024-02,False,https://example.com/courses/statistics-advanced
Advanced Statistics Techniques,Statistics,Advanced,edX,18,3.8,9.99,40813,Dr. Smith,2024-08,False,https://example.com/courses/statistics-advanced
Complete Statistics Course for Advanced,Statistics,Advanced,Pluralsight,16,4.7,99.99,11055,Dr. Miller,2024-12,True,https://example.com/courses/statistics-advanced
Data Science Bootcamp: Beginner Edition,Data Science,Beginner,Coursera,18,3.7,29.99,21967,Dr. Miller,2024-04,False,https://example.com/courses/data-science-beginner
Learn Data Science - Intermediate Tutorial,Data Science,Intermediate,Stanford Online,18,4.4,9.99,42527,Dr. Jones,2024-07,False,https://example.com/courses/data-science-intermediate
Advanced Data Science Techniques,Data Science,Advanced,Coursera,4,4.3,49.99,37983,Dr. Garcia,2024-02,False,https://example.com/courses/data-science-advanced
Data Science Bootcamp: Advanced Edition,Data Science,Advanced,LinkedIn Learning,3,3.9,19.99,21624,Dr. Williams,2024-09,True,https://example.com/courses/data-science-advanced
Learn Data Visualization - Beginner Tutorial,Data Visualization,Beginner,Udemy,3,4.7,19.99,11363,Dr. Williams,2024-03,True,https://example.com/courses/data-visualization-beginner
Data Visualization Masterclass: From Beginner to Advanced,Data Visualization,Beginner,Coursera,15,4.1,0.0,30156,Dr. Smith,2024-09,False,https://example.com/courses/data-visualization-beginner
Complete Data Visualization Course for Beginner,Data Visualization,Beginner,DataCamp,2,4.8,99.99,22935,Dr. Smith,2024-12,True,https://example.com/courses/data-visualization-beginner
Learn Data Visualization - Intermediate Tutorial,Data Visualization,Intermediate,Pluralsight,19,4.9,99.99,48984,Dr. Williams,2024-01,True,https://example.com/courses/data-visualization-intermediate
Data Visualization Masterclass: From Intermediate to Advanced,Data Visualization,Intermediate,Stanford Online,3,4.9,29.99,7228,Dr. Williams,2024-05,False,https://example.com/courses/data-visualization-intermediate
Advanced Data Visualization Techniques,Data Visualization,Advanced,edX,11,4.1,9.99,14788,Dr. Jones,2024-12,False,https://example.com/courses/data-visualization-advanced
Data Visualization Fundamentals for Advanced,Data Visualization,Advanced,Stanford Online,5,4.4,49.99,17531,Dr. Jones,2024-07,False,https://example.com/courses/data-visualization-advanced
Advanced Data Analysis Techniques,Data Analysis,Beginner,DataCamp,8,3.8,0.0,46758,Dr. Garcia,2024-04,False,https://example.com/courses/data-analysis-beginner
Learn Data Analysis - Intermediate Tutorial,Data Analysis,Intermediate,Coursera,17,3.6,0.0,36185,Dr. Johnson,2024-11,True,https://example.com/courses/data-analysis-intermediate
Complete Data Analysis Course for Intermediate,Data Analysis,Intermediate,LinkedIn Learning,20,4.5,9.99,22757,Dr. Garcia,2024-06,False,https://example.com/courses/data-analysis-intermediate
Complete Data Analysis Course for Intermediate,Data Analysis,Intermediate,DataCamp,10,3.6,99.99,43508,Dr. Williams,2024-10,False,https://example.com/courses/data-analysis-intermediate
Data Analysis Fundamentals for Advanced,Data Analysis,Advanced,Coursera,16,4.4,0.0,18213,Dr. Johnson,2024-04,True,https://example.com/courses/data-analysis-advanced
Data Analysis Fundamentals for Advanced,Data Analysis,Advanced,edX,11,4.6,29.99,9637,Dr. Garcia,2024-09,True,https://example.com/courses/data-analysis-advanced
Learn Data Cleaning - Beginner Tutorial,Data Cleaning,Beginner,MIT OpenCourseWare,18,3.5,0.0,4156,Dr. Garcia,2024-11,True,https://example.com/courses/data-cleaning-beginner
Learn Data Cleaning - Beginner Tutorial,Data Cleaning,Beginner,Udemy,18,3.6,19.99,46954,Dr. Miller,2024-11,True,https://example.com/courses/data-cleaning-beginner
Data Cleaning Masterclass: From Beginner to Advanced,Data Cleaning,Beginner,Pluralsight,17,4.3,49.99,14036,Dr. Smith,2024-03,True,https://example.com/courses/data-cleaning-beginner
Complete Data Cleaning Course for Intermediate,Data Cleaning,Intermediate,LinkedIn Learning,12,4.9,99.99,17509,Dr. Brown,2024-11,True,https://example.com/courses/data-cleaning-intermediate
Learn Data Cleaning - Intermediate Tutorial,Data Cleaning,Intermediate,edX,8,3.5,9.99,24260,Dr. Garcia,2024-11,False,https://example.com/courses/data-cleaning-intermediate
Learn Data Cleaning - Intermediate Tutorial,Data Cleaning,Intermediate,MIT OpenCourseWare,13,4.7,19.99,38127,Dr. Garcia,2024-12,True,https://example.com/courses/data-cleaning-intermediate
Learn Data Cleaning - Advanced Tutorial,Data Cleaning,Advanced,Udemy,5,4.9,49.99,6983,Dr. Jones,2024-03,False,https://example.com/courses/data-cleaning-advanced
Complete Data Cleaning Course for Advanced,Data Cleaning,Advanced,LinkedIn Learning,17,4.1,0.0,42352,Dr. Smith,2024-05,False,https://example.com/courses/data-cleaning-advanced
Feature Engineering Bootcamp: Beginner Edition,Feature Engineering,Beginner,Stanford Online,10,4.4,9.99,32804,Dr. Johnson,2024-05,True,https://example.com/courses/feature-engineering-beginner
Feature Engineering Bootcamp: Beginner Edition,Feature Engineering,Beginner,LinkedIn Learning,17,4.8,49.99,21614,Dr. Johnson,2024-05,False,https://example.com/courses/feature-engineering-beginner
Advanced Feature Engineering Techniques,Feature Engineering,Beginner,Pluralsight,12,4.5,0.0,1368,Dr. Johnson,2024-02,True,https://example.com/courses/feature-engineering-beginner
Feature Engineering Masterclass: From Intermediate to Advanced,Feature Engineering,Intermediate,Coursera,19,4.5,99.99,18485,Dr. Williams,2024-07,False,https://example.com/courses/feature-engineering-intermediate
Learn Feature Engineering - Advanced Tutorial,Feature Engineering,Advanced,Coursera,2,4.0,9.99,48279,Dr. Smith,2024-09,False,https://example.com/courses/feature-engineering-advanced
Advanced Feature Engineering Techniques,Feature Engineering,Advanced,edX,17,3.7,99.99,24655,Dr. Miller,2024-08,False,https://example.com/courses/feature-engineering-advanced
Model Evaluation Masterclass: From Beginner to Advanced,Model Evaluation,Beginner,Stanford Online,20,3.7,49.99,4178,Dr. Brown,2024-05,True,https://example.com/courses/model-evaluation-beginner
Model Evaluation Masterclass: From Intermediate to Advanced,Model Evaluation,Intermediate,Coursera,16,4.8,49.99,6206,Dr. Williams,2024-11,False,https://example.com/courses/model-evaluation-intermediate
Advanced Model Evaluation Techniques,Model Evaluation,Advanced,LinkedIn Learning,8,4.7,49.99,38942,Dr. Jones,2024-01,True,https://example.com/courses/model-evaluation-advanced
Model Evaluation Fundamentals for Advanced,Model Evaluation,Advanced,Coursera,16,3.9,9.99,5975,Dr. Johnson,2024-02,True,https://example.com/courses/model-evaluation-advanced
Advanced A/B Testing Techniques,A/B Testing,Beginner,DataCamp,6,4.7,9.99,3522,Dr. Williams,2024-08,False,https://example.com/courses/a/b-testing-beginner
A/B Testing Fundamentals for Beginner,A/B Testing,Beginner,LinkedIn Learning,9,4.4,99.99,6872,Dr. Brown,2024-02,True,https://example.com/courses/a/b-testing-beginner
Complete A/B Testing Course for Beginner,A/B Testing,Beginner,Udemy,15,4.0,29.99,27922,Dr. Williams,2024-08,False,https://example.com/courses/a/b-testing-beginner
Complete A/B Testing Course for Intermediate,A/B Testing,Intermediate,LinkedIn Learning,6,4.8,19.99,28921,Dr. Smith,2024-05,False,https://example.com/courses/a/b-testing-intermediate
Complete A/B Testing Course for Intermediate,A/B Testing,Intermediate,DataCamp,11,4.8,49.99,11712,Dr. Brown,2024-03,True,https://example.com/courses/a/b-testing-intermediate
A/B Testing Bootcamp: Advanced Edition,A/B Testing,Advanced,DataCamp,18,3.9,9.99,20512,Dr. Jones,2024-12,False,https://example.com/courses/a/b-testing-advanced
Business Intelligence Bootcamp: Beginner Edition,Business Intelligence,Beginner,LinkedIn Learning,13,3.7,9.99,25435,Dr. Brown,2024-12,False,https://example.com/courses/business-intelligence-beginner
Advanced Business Intelligence Techniques,Business Intelligence,Intermediate,edX,9,5.0,19.99,32004,Dr. Brown,2024-07,False,https://example.com/courses/business-intelligence-intermediate
Business Intelligence Fundamentals for Intermediate,Business Intelligence,Intermediate,LinkedIn Learning,13,3.9,19.99,41981,Dr. Garcia,2024-10,False,https://example.com/courses/business-intelligence-intermediate
Advanced Business Intelligence Techniques,Business Intelligence,Advanced,MIT OpenCourseWare,7,3.6,19.99,49512,Dr. Smith,2024-02,True,https://example.com/courses/business-intelligence-advanced
Learn Business Intelligence - Advanced Tutorial,Business Intelligence,Advanced,Pluralsight,20,4.0,99.99,16463,Dr. Smith,2024-03,True,https://example.com/courses/business-intelligence-advanced
Advanced TensorFlow Techniques,TensorFlow,Beginner,Udemy,8,4.0,29.99,33280,Dr. Smith,2024-05,True,https://example.com/courses/tensorflow-beginner
TensorFlow Fundamentals for Beginner,TensorFlow,Beginner,Udemy,16,4.4,49.99,9966,Dr. Brown,2024-07,False,https://example.com/courses/tensorflow-beginner
TensorFlow Bootcamp: Beginner Edition,TensorFlow,Beginner,Pluralsight,11,4.6,49.99,38473,Dr. Brown,2024-09,False,https://example.com/courses/tensorflow-beginner
Learn TensorFlow - Intermediate Tutorial,TensorFlow,Intermediate,LinkedIn Learning,20,4.6,19.99,38978,Dr. Garcia,2024-11,True,https://example.com/courses/tensorflow-intermediate
Advanced TensorFlow Techniques,TensorFlow,Advanced,Udemy,18,3.7,99.99,4205,Dr. Smith,2024-01,True,https://example.com/courses/tensorflow-advanced
Advanced PyTorch Techniques,PyTorch,Beginner,edX,4,4.1,29.99,28294,Dr. Garcia,2024-04,False,https://example.com/courses/pytorch-beginner
Complete PyTorch Course for Beginner,PyTorch,Beginner,edX,6,3.7,9.99,37232,Dr. Brown,2024-10,False,https://example.com/courses/pytorch-beginner
PyTorch Masterclass: From Intermediate to Advanced,PyTorch,Intermediate,Stanford Online,5,3.7,19.99,13491,Dr. Williams,2024-07,False,https://example.com/courses/pytorch-intermediate
PyTorch Masterclass: From Intermediate to Advanced,PyTorch,Intermediate,DataCamp,15,4.1,49.99,48827,Dr. Miller,2024-01,False,https://example.com/courses/pytorch-intermediate
Advanced PyTorch Techniques,PyTorch,Advanced,LinkedIn Learning,2,4.0,99.99,27800,Dr. Williams,2024-07,True,https://example.com/courses/pytorch-advanced
Learn Scikit-learn - Beginner Tutorial,Scikit-learn,Beginner,edX,18,4.1,9.99,42224,Dr. Miller,2024-08,False,https://example.com/courses/scikit-learn-beginner
Advanced Scikit-learn Techniques,Scikit-learn,Beginner,LinkedIn Learning,12,5.0,49.99,35794,Dr. Brown,2024-08,True,https://example.com/courses/scikit-learn-beginner
Learn Scikit-learn - Intermediate Tutorial,Scikit-learn,Intermediate,Udemy,10,3.9,9.99,8464,Dr. Jones,2024-04,True,https://example.com/courses/scikit-learn-intermediate
Advanced Scikit-learn Techniques,Scikit-learn,Intermediate,DataCamp,14,4.1,0.0,47867,Dr. Miller,2024-04,False,https://example.com/courses/scikit-learn-intermediate
Advanced Scikit-learn Techniques,Scikit-learn,Advanced,MIT OpenCourseWare,18,3.5,99.99,39549,Dr. Garcia,2024-10,True,https://example.com/courses/scikit-learn-advanced
Learn Scikit-learn - Advanced Tutorial,Scikit-learn,Advanced,edX,18,3.7,19.99,30221,Dr. Miller,2024-09,True,https://example.com/courses/scikit-learn-advanced
Scikit-learn Masterclass: From Advanced to Advanced,Scikit-learn,Advanced,Pluralsight,8,4.7,29.99,38536,Dr. Garcia,2024-09,False,https://example.com/courses/scikit-learn-advanced
